SENTENCE,CLASS
"I may seem confident, but I get extremely nervous speaking in front of people. My hands tremble, I get all tongue-tied, and sometimes I don't even know what I'm saying myself.",S
What is the square root of 2?,Q
Tom can't decide what to do.,S
Tom didn't believe what he heard.,S
I thought this was what you always wanted.,S
Did you tell Tom about what we did?,Q
Life is half spent before we know what it is.,S
"What's happened, has happened. It's history.",S
"Today there isn't a cloud in the sky, what a blue sky!",S
What's the student/teacher ratio at your school?,Q
Take good care of what you eat and drink every day.,S
"On Saturday I went to the zoo, and a monkey, who wouldn't stop screeching, pulled my hair.",S
"Who can speak English better, Yoko or Yumi?",Q
I just wanted some advice from someone who's already been to Boston.,S
It remains to be seen who wins.,S
I'm the guy who showed Tom how to make tomato sauce.,S
With whom are you eating?,Q
The picnic lasted the whole day.,S
Tom didn't know who I was.,S
I have a nephew who would be perfect for this job.,S
Who did you kill?,Q
I spent the whole evening reading the poetry of Kenji Miyazawa.,S
We realize now that Tom knew exactly who Mary was.,S
You're the only other person who knows where Tom is.,S
I don't know anybody who likes these films.,S
Whose drawing did you like?,Q
Who is the prettiest of the girls?,Q
Do you know who that person is?,Q
The whole world loves Brazil.,S
"A footballer, who had two cervical vertebrae broken in a tackle last week, may never walk again.",S
He drank a whole bottle of milk.,S
How will Tom react?,Q
How long will the storm last?,Q
How could you let her do this?,Q
How many eggs were you able to get yesterday?,Q
Tom showed me his collection of stamps.,S
"The words are on the tip of my tongue, but I don't quite know how to put what I want to say.",S
"He was fair and delicate as a prince, and beautiful as an angel; and how she loved this child!",S
Tom is showing his wound.,S
We may have a shower today.,S
Here comes inaction and we don't know how to stop it.,S
That's how I feel sometimes.,S
This is how they catch an elephant alive.,S
How did you know that?,Q
"The lyrics seem innocent enough, but if you listen to them closely, you'll realize how subversive they really are.",S
How many friends do you have?,Q
He pointed out how important it is to observe the law.,S
How do you like your new class?,S
I don't know how I'm going to get Tom to help us.,S
Do you not know how to hunt with anything but nets?,Q
I forgot just how fun you are to hang out with.,S
You remind me of myself.,C
That reminds me of home.,S
Don't forget to remind me of that.,C
You remind me of myself when I was your age.,C
Tom reminds me of you.,C
Tom reminds me of someone I went to school with.,S
You just reminded me of someone.,S
This reminds me of you.,S
This reminds me of someone.,S
"Please remind me, should I forget.",C
Who does this remind you of?,Q
Austria's hilly landscapes reminded Mr. Bogart of The Sound of Music.,S
Tom asked Mary to remind him to call John in the morning.,C
I don't want to be reminded.,C
Please remind me to go to the doctor's tomorrow.,C
That reminds me of something I heard yesterday.,S
I reminded him of his interview with the president.,C
This melody reminds me of my school days.,S
I don't need reminding.,C
Tom is scheduled to be sentenced October 20th.,S
Could you please re-schedule the meeting at your convenience?,C
What's your schedule for tomorrow?,C
What time is the plane scheduled to land?,C
"I do not know the train schedules, could you find out for me?",C
"You're on a tight schedule, aren't you?",Q
He has a tight schedule.,S
We're on schedule.,C
"You're on a tight schedule, aren't you?",Q
"Due to the typhoon, the train schedule was disturbed and all the trains were jam-packed.",S
The plans are being made without regard to his schedule.,S
Our server will be offline on October 20th for scheduled maintenance.,S
Tom is scheduled to come to Boston next week.,C
The schedule dictates that this work be done by the weekend.,S
We're on a tight schedule today.,C
My schedule's really full right now.,C
I want a copy of Tom's daily schedule.,C
He organized his overcrowded schedule and managed to come to see my performance.,S
We're three hours behind schedule.,C
"I do not know the train schedules, could you find out for me?",C
My phone has a caller ID that lets me screen my calls.,S
"It's easy to call us and we are in distress, but continue to pray after the crisis is more like ensuring that helps promising to adhere to the spirit of good achievements",S
The principal called and said you weren't at school today.,S
Daniela called me at home.,S
Do you know that sushi restaurant called Tatoeba in Shibuya?,Q
You can call me when you want.,S
Are you calling me stupid?,Q
"�As a star, the sun is a so-called yellow dwarf.",S
I would like to call my embassy.,C
I'll call you when I get there.,C
I want you to call it off.,C
I tried to call you from Boston.,C
Have there been any calls for me?,C
I had some calls to make.,C
I made several calls to Mr Yamada's residence, but no one answered the calls.",S
Let's call the dog Skipper.,S
I'll call you when I get there.,S
Perhaps we should call security.,C
Call when you want to be picked up.,C
Delirium of one person is called madness. Delirium of thousands of people is called religion.,S
I'm looking for textbooks on feminist sociology.,S
I just got a text from her.,S
A browser ignores any indentations or blank lines in the source text.,S
Language textbooks often feature only good people.,S
"It's very easy to learn the Cyrillic alphabet, but reading fluently texts written in Cyrillic characters is quite difficult for those who are just starting to learn Russian.",S
The Japanese fishing fleet catches more than 1000 whales per year on the pretext of scientific research.,S
I forgot to buy the textbook.,C
Tom thinks he left his French textbook at Mary's.,C
I sent Tom a text message.,C
"I want you to put down the magazines, the textbooks and everything else.",S
I left my textbooks somewhere.,S
You can always text her.,C
"No context, no text.",S
He delayed payment on some pretext or other.,C
Tom texted Mary.,C
Tom asked Mary if he could borrow her English textbook.,C
With text we mean any communicative situation of significant length.,S
The original was written as a school textbook.,S
Are you texting Mary?,C
I don't know where my French textbook is.,C
